"","ZCTA5CE10","mean_nitrate","well_type","well_count"
"54","93664",1.87433333333333,"WATER SUPPLY, OTHER",9
"55","93703",4.07302702702703,"MUNICIPAL",37
"56","93703",3.29777272727273,"WATER SUPPLY, OTHER",22
"57","93234",8.69,"IRRIGATION / INDUSTRIAL",1
"58","93234",2.334,"MUNICIPAL",1
"59","93234",1.65539682539683,"WATER SUPPLY, OTHER",63
"60","93616",9.59147619047619,"DOMESTIC",21
"61","93616",4.6,"IRRIGATION / INDUSTRIAL",1
"62","93616",2.46383333333333,"MUNICIPAL",6
"63","93616",3.37886956521739,"WATER SUPPLY, OTHER",23
"64","95503",2.99,"DOMESTIC",1
"65","95503",0.1,"MONITORING",1
"66","95503",0.345333333333333,"MUNICIPAL",9
"67","95503",1.99942857142857,"WATER SUPPLY, OTHER",14
"68","95554",0.2884,"MUNICIPAL",5
"69","95560",0.34275,"MUNICIPAL",4
"70","95524",0.422,"WATER SUPPLY, OTHER",7
"71","92243",NA,NA,1
"72","93526",0.3265,"DOMESTIC",2
"73","93526",0.176,"MONITORING",1
"74","93526",0.329,"MUNICIPAL",14
"75","93526",0.425923076923077,"WATER SUPPLY, OTHER",13
"76","93527",0.6405,"DOMESTIC",2
"77","93527",1.89007142857143,"MUNICIPAL",42
"78","93527",2.55953191489362,"WATER SUPPLY, OTHER",47
"79","93305",0.428105263157895,"MUNICIPAL",19
"80","93305",0.399548387096774,"WATER SUPPLY, OTHER",31
"81","93308",7.2,"DOMESTIC",2
"82","93308",3.68527272727273,"IRRIGATION / INDUSTRIAL",11
"83","93308",2.01507619047619,"MUNICIPAL",105
"84","93308",3.68133855799373,"WATER SUPPLY, OTHER",319
"85","93311",0.846833333333333,"DOMESTIC",6
"86","93311",1.0718,"IRRIGATION / INDUSTRIAL",5
"87","93311",2.02376470588235,"MUNICIPAL",34
"88","93311",1.73887111111111,"WATER SUPPLY, OTHER",225
"89","93220",5.91,"MUNICIPAL",1
"90","93220",3.76070833333333,"WATER SUPPLY, OTHER",24
"91","93518",3.0513,"MUNICIPAL",10
"92","93518",3.80166666666667,"WATER SUPPLY, OTHER",6
"93","93251",1,"MUNICIPAL",2
"94","93251",2.14359090909091,"WATER SUPPLY, OTHER",22
"95","93226",3.156125,"MUNICIPAL",8
"96","93226",2.645,"WATER SUPPLY, OTHER",1
"97","93245",1.1675,"DOMESTIC",48
"98","93245",0.178333333333333,"IRRIGATION / INDUSTRIAL",3
"99","93245",0,"MONITORING",2
"100","93245",0.81578125,"MUNICIPAL",32
"101","93245",3.538075,"WATER SUPPLY, OTHER",80
"102","93266",0.087,"DOMESTIC",1
"103","93266",0.043,"MONITORING",1
"104","93266",0.238,"MUNICIPAL",5
"105","93266",5.12021276595745,"WATER SUPPLY, OTHER",47
"106","93202",0.840666666666667,"MUNICIPAL",3
"107","93202",0.1,"WATER SUPPLY, OTHER",2
"108","95485",3.81,"DOMESTIC",1
"109","95485",0.424,"MUNICIPAL",25
"110","95485",0.648125,"WATER SUPPLY, OTHER",16
"111","96130",1.10565,"MUNICIPAL",60
"112","96130",3.15422352941176,"WATER SUPPLY, OTHER",85
"113","96109",2.99683333333333,"MUNICIPAL",6
"114","96109",3.15123076923077,"WATER SUPPLY, OTHER",26
"115","96123",0.572,"MUNICIPAL",1
"116","96123",1.51283333333333,"WATER SUPPLY, OTHER",18
"117","91504",8.52166666666667,"MUNICIPAL",3
"118","91504",7.68,"WATER SUPPLY, OTHER",1
"119","91606",10.6252666666667,"MUNICIPAL",15
"120","91606",1.7385,"WATER SUPPLY, OTHER",6
"121","90640",4.09,"MONITORING",7
"122","90640",1.44335294117647,"MUNICIPAL",17
"123","90640",1.41309803921569,"WATER SUPPLY, OTHER",51
"124","91770",3.68774285714286,"MUNICIPAL",35
"125","91770",2.67104545454545,"WATER SUPPLY, OTHER",22
"126","93535",1.354,"IRRIGATION / INDUSTRIAL",1
"127","93535",0.844260273972603,"MUNICIPAL",73
"128","93535",0.974365853658537,"WATER SUPPLY, OTHER",123
"129","90290",2.8415,"WATER SUPPLY, OTHER",2
"130","91792",6.59114285714286,"WATER SUPPLY, OTHER",7
"131","91789",7.27234482758621,"WATER SUPPLY, OTHER",29
"132","91791",8.79391666666667,"MUNICIPAL",12
"133","91791",7.47385714285714,"WATER SUPPLY, OTHER",7
"134","91723",13.3665,"WATER SUPPLY, OTHER",4
"135","91773",10.6987142857143,"MUNICIPAL",7
"136","91773",13.12175,"WATER SUPPLY, OTHER",8
"137","91702",1.78606451612903,"MUNICIPAL",31
"138","91702",5.39471052631579,"WATER SUPPLY, OTHER",38
"139","91741",5.1062,"MUNICIPAL",5
"140","91741",11.0496,"WATER SUPPLY, OTHER",10
"141","91765",2.758,"WATER SUPPLY, OTHER",3
"142","90303",0,"MONITORING",7
"143","90303",0.220857142857143,"MUNICIPAL",7
"144","90303",0.0576,"WATER SUPPLY, OTHER",15
"145","90033",NA,NA,1
"146","90032",NA,NA,1
"147","90249",0,"MONITORING",1
"148","90249",0.268,"MUNICIPAL",5
"149","90249",0.103,"WATER SUPPLY, OTHER",3
"150","90822",0.193,"WATER SUPPLY, OTHER",1
"151","91355",4.39457894736842,"MUNICIPAL",19
"152","91355",2.91270588235294,"WATER SUPPLY, OTHER",34
"153","91350",4.10872222222222,"MUNICIPAL",18
"154","91350",3.12802702702703,"WATER SUPPLY, OTHER",37
"155","91387",3.02186666666667,"MUNICIPAL",15
"156","91387",2.55007142857143,"WATER SUPPLY, OTHER",42
"157","91001",4.06,"MUNICIPAL",11
"158","91001",4.22635294117647,"WATER SUPPLY, OTHER",17
"159","91604",7.505,"WATER SUPPLY, OTHER",1
"160","91402",NA,NA,1
"161","91030",13.172,"WATER SUPPLY, OTHER",1
"162","91108",6.48554545454545,"MUNICIPAL",11
"163","91108",6.0744,"WATER SUPPLY, OTHER",5
"164","90062",12.008,"MONITORING",6
"165","90062",2.52,"MUNICIPAL",1
"166","90062",2.70333333333333,"WATER SUPPLY, OTHER",6
"167","90293",1.85111111111111,"WATER SUPPLY, OTHER",9
"168","90292",9.822875,"WATER SUPPLY, OTHER",16
"169","90003",1.58333333333333,"MONITORING",6
"170","90003",0.2039,"WATER SUPPLY, OTHER",10
"171","90056",0.06,"IRRIGATION / INDUSTRIAL",1
"172","90056",0.06,"WATER SUPPLY, OTHER",1
"173","90732",0.468333333333333,"WATER SUPPLY, OTHER",3
"174","90716",0.225,"MUNICIPAL",7
"175","90716",0.166333333333333,"WATER SUPPLY, OTHER",9
"176","90805",0,"MONITORING",7
"177","90805",0.3609,"MUNICIPAL",10
"178","90805",0.233138888888889,"WATER SUPPLY, OTHER",36
"179","90402",4.205,"MUNICIPAL",2
"180","90402",4.185,"WATER SUPPLY, OTHER",1
"181","90010",NA,NA,1
"182","90073",4.3,"WATER SUPPLY, OTHER",1
"183","91040",4.84736363636364,"WATER SUPPLY, OTHER",11
"184","90403",NA,NA,1
"185","93550",0.223,"DOMESTIC",1
"186","93550",0.883018867924528,"MUNICIPAL",53
"187","93550",0.560292682926829,"WATER SUPPLY, OTHER",41
"188","92397",2.77575,"MUNICIPAL",20
"189","92397",1.748,"WATER SUPPLY, OTHER",5
"190","91732",2.59451612903226,"MUNICIPAL",31
"191","91732",2.89804347826087,"WATER SUPPLY, OTHER",23
"192","91731",3.3,"MONITORING",10
"193","91731",3.81035714285714,"MUNICIPAL",14
"194","91731",2.2144,"WATER SUPPLY, OTHER",10
"195","94949",NA,NA,1
"196","94939",NA,NA,1
"197","95306",2.33,"DOMESTIC",2
"198","95306",4.80985714285714,"MUNICIPAL",7
"199","95428",0.140666666666667,"DOMESTIC",3
"200","95428",0.616666666666667,"MUNICIPAL",9
"201","95428",0.551965517241379,"WATER SUPPLY, OTHER",29
"202","95429",0.2,"WATER SUPPLY, OTHER",1
"203","95425",0.4576,"DOMESTIC",5
"204","95425",1.05444186046512,"MUNICIPAL",43
"205","95425",0.798444444444444,"WATER SUPPLY, OTHER",9
"206","95449",0.092,"DOMESTIC",1
"207","95449",0.594571428571429,"MUNICIPAL",7
"208","95449",0.395666666666667,"WATER SUPPLY, OTHER",12
"209","95456",0.849,"MUNICIPAL",12
"210","95432",0.450333333333333,"MUNICIPAL",3
"211","95301",10.9562608695652,"DOMESTIC",46
"212","95301",3.85,"MONITORING",2
"213","95301",4.58832075471698,"MUNICIPAL",53
"214","95301",5.19752272727273,"WATER SUPPLY, OTHER",44
"215","96134",0.321384615384615,"MUNICIPAL",13
"216","96134",0.592352941176471,"WATER SUPPLY, OTHER",34
"217","96054",0.19,"DOMESTIC",1
"218","96054",4.02121052631579,"WATER SUPPLY, OTHER",19
"219","93517",0.555192307692308,"MUNICIPAL",26
"220","93517",0.1,"WATER SUPPLY, OTHER",1
"221","89010",2.06666666666667,"WATER SUPPLY, OTHER",3
"222","93907",19.2985471698113,"DOMESTIC",53
"223","93907",8.61931506849315,"IRRIGATION / INDUSTRIAL",73
"224","93907",3.03888888888889,"MONITORING",27
"225","93907",4.60069014084507,"MUNICIPAL",213
"226","93907",3.75009090909091,"WATER SUPPLY, OTHER",55
"227","93953",NA,NA,1
"228","94567",0.255,"MUNICIPAL",2
"229","94599",0.187333333333333,"MUNICIPAL",3
"230","94599",0.183,"WATER SUPPLY, OTHER",1
"231","94576",0.8045,"MUNICIPAL",4
"232","94576",0.026,"WATER SUPPLY, OTHER",1
"233","96161",0.125666666666667,"IRRIGATION / INDUSTRIAL",3
"234","96161",0.393178082191781,"MUNICIPAL",73
"235","96161",0.278631578947368,"WATER SUPPLY, OTHER",19
"236","95977",0.634166666666667,"DOMESTIC",6
"237","95977",0.798111111111111,"MUNICIPAL",9
"238","95977",1.24833333333333,"WATER SUPPLY, OTHER",3
"239","92840",3.96191666666667,"MUNICIPAL",12
"240","92840",5.89334782608696,"WATER SUPPLY, OTHER",23
"241","92841",2.247875,"MUNICIPAL",8
"242","92841",2.42590909090909,"WATER SUPPLY, OTHER",11
"243","92647",0.702636363636364,"MUNICIPAL",11
"244","92647",1.1325421686747,"WATER SUPPLY, OTHER",83
"245","92673",NA,NA,1
"246","92865",4.3255,"MUNICIPAL",4
"247","92865",1.935625,"WATER SUPPLY, OTHER",8
"248","92866",1.916,"MUNICIPAL",7
"249","92866",3.26883333333333,"WATER SUPPLY, OTHER",6
"250","92624",NA,NA,1
"251","90743",NA,NA,1
"252","95714",NA,NA,1
"253","95717",0.04,"DOMESTIC",1
"254","95717",0.3705,"MUNICIPAL",2
"255","95717",0.076,"WATER SUPPLY, OTHER",1
"256","96140",0.286,"MUNICIPAL",3
"257","96140",0.046,"WATER SUPPLY, OTHER",1
"258","95915",0.333,"MUNICIPAL",2
"259","95984",0.363,"MUNICIPAL",6
"260","95984",0.02,"WATER SUPPLY, OTHER",1
"261","96020",0.328411764705882,"MUNICIPAL",17
"262","96020",0.109,"WATER SUPPLY, OTHER",15
"263","95947",0.3162,"MUNICIPAL",10
"264","95947",0.131,"WATER SUPPLY, OTHER",5
"265","96118",0,"DOMESTIC",1
"266","96118",0.413222222222222,"MUNICIPAL",9
"267","96118",0.951514285714286,"WATER SUPPLY, OTHER",35
"268","92234",0.638,"IRRIGATION / INDUSTRIAL",1
"269","92234",0.772428571428571,"MUNICIPAL",21
"270","92234",1.56879166666667,"WATER SUPPLY, OTHER",24
"271","92240",1.5525,"DOMESTIC",4
"272","92240",3.08527777777778,"MUNICIPAL",18
"273","92240",0.878979166666667,"WATER SUPPLY, OTHER",96
"274","92544",3.9619375,"MUNICIPAL",32
"275","92544",12.2085514018692,"WATER SUPPLY, OTHER",107
"276","92543",6.4885,"MUNICIPAL",16
"277","92543",7.5910652173913,"WATER SUPPLY, OTHER",46
"278","92264",0.923,"IRRIGATION / INDUSTRIAL",1
"279","92264",2.22917647058824,"MUNICIPAL",17
"280","92264",1.36533333333333,"WATER SUPPLY, OTHER",24
"281","92282",1.0815,"DOMESTIC",2
"282","92282",1.28118181818182,"MUNICIPAL",11
"283","92282",1.22593333333333,"WATER SUPPLY, OTHER",30
"284","92239",3.487375,"MUNICIPAL",8
"285","92239",1.50164,"WATER SUPPLY, OTHER",25
"286","92201",0.82,"IRRIGATION / INDUSTRIAL",1
"287","92201",1.70148648648649,"MUNICIPAL",37
"288","92201",2.77778571428571,"WATER SUPPLY, OTHER",28
"289","92373",7.94223529411765,"MUNICIPAL",17
"290","92373",6.05707142857143,"WATER SUPPLY, OTHER",56
"291","92210",1.15,"MUNICIPAL",3
"292","92210",4.79493548387097,"WATER SUPPLY, OTHER",31
"293","92324",10.4,"DOMESTIC",1
"294","92324",4.0878064516129,"MUNICIPAL",31
"295","92324",5.05122580645161,"WATER SUPPLY, OTHER",155
"296","92399",3.55595652173913,"MUNICIPAL",92
"297","92399",2.95723021582734,"WATER SUPPLY, OTHER",139
"298","95843",1.24,"DOMESTIC",1
"299","95843",1.705,"MONITORING",2
"300","95843",1.17692307692308,"MUNICIPAL",26
"301","95843",1.68592857142857,"WATER SUPPLY, OTHER",14
"302","95814",NA,NA,1
"303","95864",0.593,"DOMESTIC",1
"304","95864",2.20134375,"MUNICIPAL",32
"305","95864",0.572380952380952,"WATER SUPPLY, OTHER",21
"306","95655",0.714769230769231,"MUNICIPAL",13
"307","95655",0.95455,"WATER SUPPLY, OTHER",20
"308","95824",3.45492857142857,"MUNICIPAL",28
"309","95824",2.776,"WATER SUPPLY, OTHER",4
"310","95075",0.308,"DOMESTIC",2
"311","95075",0.661333333333333,"IRRIGATION / INDUSTRIAL",3
"312","95075",1.04,"MONITORING",2
"313","95075",0.681,"MUNICIPAL",7
"314","95075",0.89725,"WATER SUPPLY, OTHER",4
"315","92394",0.692857142857143,"MUNICIPAL",35
"316","92394",1.39963043478261,"WATER SUPPLY, OTHER",46
"317","92338",3.3195,"MUNICIPAL",2
"318","92410",3.53021428571429,"MUNICIPAL",42
"319","92410",2.22317142857143,"WATER SUPPLY, OTHER",70
"320","92337",7.40316666666667,"MUNICIPAL",6
"321","92337",5.21586363636364,"WATER SUPPLY, OTHER",22
"322","92313",3.21325,"MUNICIPAL",4
"323","92313",10.1241666666667,"WATER SUPPLY, OTHER",6
"324","92325",1.60985106382979,"MUNICIPAL",47
"325","92325",0.778235294117647,"WATER SUPPLY, OTHER",34
"326","92014",2.55371428571429,"WATER SUPPLY, OTHER",7
"327","92020",2.558,"MUNICIPAL",3
"328","92020",11.1318938053097,"WATER SUPPLY, OTHER",113
"329","92111",0.0358333333333333,"WATER SUPPLY, OTHER",6
"330","92108",0.97421875,"WATER SUPPLY, OTHER",32
"331","92037",2.35,"WATER SUPPLY, OTHER",1
"332","92104",NA,NA,1
"333","92154",2.34476576576577,"WATER SUPPLY, OTHER",111
"334","92067",0.2,"MONITORING",1
"335","92067",1.31553125,"WATER SUPPLY, OTHER",32
"336","92075",1.996,"WATER SUPPLY, OTHER",5
"337","92103",0.4685,"WATER SUPPLY, OTHER",2
"338","91935",4.25333333333333,"MONITORING",3
"339","91935",3.47764705882353,"MUNICIPAL",17
"340","91935",2.8485,"WATER SUPPLY, OTHER",30
"341","91978",20.3,"IRRIGATION / INDUSTRIAL",1
"342","91978",20.3,"WATER SUPPLY, OTHER",1
"343","91906",4.6174,"MONITORING",5
"344","91906",6.56291111111111,"MUNICIPAL",45
"345","91906",1.81781081081081,"WATER SUPPLY, OTHER",37
"346","91948",0.340571428571429,"MUNICIPAL",7
"347","91948",2.27,"WATER SUPPLY, OTHER",2
"348","92069",7.5325,"WATER SUPPLY, OTHER",2
"349","92010",1.05491666666667,"WATER SUPPLY, OTHER",12
"350","92058",0.439,"MUNICIPAL",16
"351","92058",0.832,"WATER SUPPLY, OTHER",142
"352","94131",NA,NA,1
"353","94124",10.667,"WATER SUPPLY, OTHER",1
"354","94134",22.4085,"WATER SUPPLY, OTHER",2
"355","94108",NA,NA,1
"356","94130",NA,NA,1
"357","95686",0.451363636363636,"DOMESTIC",11
"358","95686",0.18025,"MUNICIPAL",8
"359","95686",0.9628,"WATER SUPPLY, OTHER",25
"360","95242",7.52778888888889,"DOMESTIC",90
"361","95242",2.84841935483871,"MUNICIPAL",62
"362","95242",3.42545789473684,"WATER SUPPLY, OTHER",190
"363","95211",NA,NA,1
"364","95240",3.48065555555556,"DOMESTIC",90
"365","95240",2.7514375,"MUNICIPAL",64
"366","95240",2.21314197530864,"WATER SUPPLY, OTHER",162
"367","95320",8.86069230769231,"DOMESTIC",65
"368","95320",5.9041,"MUNICIPAL",30
"369","95320",4.51811428571429,"WATER SUPPLY, OTHER",70
"370","93405",6.23185714285714,"DOMESTIC",14
"371","93405",5.45088888888889,"IRRIGATION / INDUSTRIAL",18
"372","93405",4,"MONITORING",1
"373","93405",1.58289473684211,"MUNICIPAL",38
"374","93405",3.16741935483871,"WATER SUPPLY, OTHER",31
"375","93433",12.6266666666667,"IRRIGATION / INDUSTRIAL",3
"376","93433",8.734,"MUNICIPAL",8
"377","93433",18.5686388888889,"WATER SUPPLY, OTHER",36
"378","93430",1.27555555555556,"DOMESTIC",9
"379","93430",1.11375,"IRRIGATION / INDUSTRIAL",8
"380","93430",1.91833333333333,"MONITORING",3
"381","93430",0.95725,"MUNICIPAL",12
"382","93430",3.84141379310345,"WATER SUPPLY, OTHER",58
"383","94070",NA,NA,1
"384","94065",NA,NA,1
"385","94019",0.07,"DOMESTIC",1
"386","94019",1.973,"MUNICIPAL",15
"387","94019",4.42428571428571,"WATER SUPPLY, OTHER",7
"388","93105",0,"IRRIGATION / INDUSTRIAL",6
"389","93105",1.1,"MONITORING",1
"390","93105",0.882702702702703,"MUNICIPAL",37
"391","93105",1.3788275862069,"WATER SUPPLY, OTHER",29
"392","93109",55.49725,"WATER SUPPLY, OTHER",4
"393","95138",2.0025,"MUNICIPAL",14
"394","95138",2.279125,"WATER SUPPLY, OTHER",8
"395","95033",0.28125,"DOMESTIC",12
"396","95033",0.2995,"IRRIGATION / INDUSTRIAL",2
"397","95033",0.516358974358974,"MUNICIPAL",39
"398","95033",0.2048,"WATER SUPPLY, OTHER",5
"399","95120",5.224,"MUNICIPAL",3
"400","95120",3.57,"WATER SUPPLY, OTHER",3
"401","95136",1.358,"MUNICIPAL",8
"402","95136",1.75171428571429,"WATER SUPPLY, OTHER",7
"403","95123",2.548375,"MUNICIPAL",16
"404","95123",3.65318181818182,"WATER SUPPLY, OTHER",11
"405","94304",3.145,"MUNICIPAL",2
"406","94304",2.73,"WATER SUPPLY, OTHER",1
"407","95073",0.581222222222222,"DOMESTIC",9
"408","95073",0.05225,"IRRIGATION / INDUSTRIAL",4
"409","95073",0.0295,"MONITORING",2
"410","95073",0.189733333333333,"MUNICIPAL",15
"411","95073",0.534625,"WATER SUPPLY, OTHER",8
"412","95017",1.69125,"DOMESTIC",4
"413","95017",0.267142857142857,"IRRIGATION / INDUSTRIAL",7
"414","95017",0.4212,"MUNICIPAL",5
"415","95017",0.02,"WATER SUPPLY, OTHER",1
"416","96011",0.253,"MUNICIPAL",5
"417","96011",0.2,"WATER SUPPLY, OTHER",1
"418","96019",0.0666666666666667,"WATER SUPPLY, OTHER",3
"419","96051",0.453566666666667,"MUNICIPAL",60
"420","96051",0.0932,"WATER SUPPLY, OTHER",10
"421","96069",0.594,"DOMESTIC",1
"422","96069",0.5215,"MUNICIPAL",2
"423","96069",0.06,"WATER SUPPLY, OTHER",3
"424","96033",0.0826,"MUNICIPAL",5
"425","96033",0.771,"WATER SUPPLY, OTHER",2
"426","96025",0.23675,"MUNICIPAL",4
"427","96025",0.51,"WATER SUPPLY, OTHER",1
"428","96075",0.092,"DOMESTIC",1
"429","96075",0.547875,"MUNICIPAL",8
"430","96075",0.0835,"WATER SUPPLY, OTHER",4
"431","95936",0.04,"DOMESTIC",1
"432","95936",0.408666666666667,"MUNICIPAL",3
"433","96049",NA,NA,1
"434","95687",2.4305,"MUNICIPAL",34
"435","95687",2.19566666666667,"WATER SUPPLY, OTHER",9
"436","94590",5.85,"WATER SUPPLY, OTHER",2
"437","95441",0.04,"DOMESTIC",1
"438","95441",1.48636585365854,"MUNICIPAL",41
"439","95441",1.89218181818182,"WATER SUPPLY, OTHER",11
"440","95448",0.2035,"DOMESTIC",8
"441","95448",0.922299212598425,"MUNICIPAL",127
"442","95448",0.524769230769231,"WATER SUPPLY, OTHER",26
"443","95465",0.04,"DOMESTIC",2
"444","95465",0.82775,"MUNICIPAL",12
"445","95465",0.62,"WATER SUPPLY, OTHER",2
"446","95405",0.04,"DOMESTIC",1
"447","95405",1.03266666666667,"MUNICIPAL",3
"448","95405",0.467,"WATER SUPPLY, OTHER",5
"449","95407",3.89866666666667,"DOMESTIC",3
"450","95407",2.1904696969697,"MUNICIPAL",66
"451","95407",2.23292857142857,"WATER SUPPLY, OTHER",14
"452","95476",0.928,"DOMESTIC",4
"453","95476",1.09651304347826,"MUNICIPAL",115
"454","95476",1.665,"WATER SUPPLY, OTHER",50
"455","94951",0.067,"DOMESTIC",1
"456","94951",0.8698,"MUNICIPAL",10
"457","94951",4.7,"WATER SUPPLY, OTHER",4
"458","95497",0.754,"MUNICIPAL",2
"459","95350",5.2925,"MUNICIPAL",26
"460","95350",4.73644,"WATER SUPPLY, OTHER",50
"461","95367",3.5702,"MUNICIPAL",15
"462","95367",0.07,"WATER SUPPLY, OTHER",1
"463","95313",8.8302380952381,"DOMESTIC",21
"464","95313",49.3,"IRRIGATION / INDUSTRIAL",1
"465","95313",12.6,"MONITORING",3
"466","95313",6.31654166666667,"MUNICIPAL",24
"467","95313",3.78649019607843,"WATER SUPPLY, OTHER",51
"468","95319",5.4305,"MUNICIPAL",4
"469","95319",8.175,"WATER SUPPLY, OTHER",1
"470","95957",0.3185,"MUNICIPAL",8
"471","95957",0.194148148148148,"WATER SUPPLY, OTHER",27
"472","96055",1.96943902439024,"DOMESTIC",82
"473","96055",0.8275,"IRRIGATION / INDUSTRIAL",2
"474","96055",2.2489375,"MUNICIPAL",32
"475","96055",1.37032258064516,"WATER SUPPLY, OTHER",31
"476","96074",0.248666666666667,"MUNICIPAL",3
"477","95552",0.6668,"MUNICIPAL",10
"478","95552",0.02,"WATER SUPPLY, OTHER",1
"479","95527",0.378,"MUNICIPAL",1
"480","96052",0.255653846153846,"MUNICIPAL",26
"481","96052",0.45175,"WATER SUPPLY, OTHER",4
"482","96010",0.1741,"MUNICIPAL",10
"483","96010",0.195,"WATER SUPPLY, OTHER",3
"484","95379",0.9424,"MUNICIPAL",5
"485","95383",0.737416666666667,"MUNICIPAL",12
"486","95383",0.06,"WATER SUPPLY, OTHER",2
"487","93012",7.63,"IRRIGATION / INDUSTRIAL",2
"488","93012",6.96042105263158,"MUNICIPAL",19
"489","93012",2.51578109452736,"WATER SUPPLY, OTHER",201
"490","93066",2.33,"IRRIGATION / INDUSTRIAL",1
"491","93066",3.2860625,"MUNICIPAL",16
"492","93066",4.62520430107527,"WATER SUPPLY, OTHER",93
"493","93036",3.77867213114754,"MUNICIPAL",61
"494","93036",3.62814130434783,"WATER SUPPLY, OTHER",184
"495","93004",0.06,"IRRIGATION / INDUSTRIAL",1
"496","93004",0.861666666666667,"MUNICIPAL",6
"497","93004",3.35048979591837,"WATER SUPPLY, OTHER",49
"498","93022",2.91,"MUNICIPAL",1
"499","93022",1.86858333333333,"WATER SUPPLY, OTHER",12
"500","95616",19.45,"DOMESTIC",2
"501","95616",4.6085,"MUNICIPAL",54
"502","95616",3.44255555555556,"WATER SUPPLY, OTHER",18
"503","95691",0.89284,"MUNICIPAL",25
"504","95691",0.0474615384615385,"WATER SUPPLY, OTHER",13
"505","95637",4.435,"DOMESTIC",2
"506","95637",2.911,"MUNICIPAL",4
"507","95637",1.6044,"WATER SUPPLY, OTHER",5
"508","95698",0.531,"MUNICIPAL",1
"509","95698",1.31210344827586,"WATER SUPPLY, OTHER",29
"510","95935",0.0806666666666667,"DOMESTIC",3
"511","95935",0.513428571428571,"MUNICIPAL",14
"512","95935",0.202,"WATER SUPPLY, OTHER",1
"513","94705",NA,NA,1
"514","94602",NA,NA,1
"515","95646",0.196,"MUNICIPAL",5
"516","95689",0.111666666666667,"DOMESTIC",3
"517","95689",0.314888888888889,"MUNICIPAL",9
"518","95689",0.1105,"WATER SUPPLY, OTHER",4
"519","95969",1.3765,"DOMESTIC",2
"520","95969",0.994615384615385,"MUNICIPAL",13
"521","95969",1.38955555555556,"WATER SUPPLY, OTHER",9
"522","95916",0.128,"DOMESTIC",1
"523","95916",0.665357142857143,"MUNICIPAL",14
"524","95916",0.3785,"WATER SUPPLY, OTHER",2
"525","95978",NA,NA,1
"526","95948",4.0345,"DOMESTIC",2
"527","95948",0.63,"IRRIGATION / INDUSTRIAL",2
"528","95948",2.42485,"MUNICIPAL",20
"529","95948",2.290625,"WATER SUPPLY, OTHER",40
"530","95228",NA,NA,1
"531","95248",0.393333333333333,"MUNICIPAL",3
"532","95233",1.14,"DOMESTIC",1
"533","95252",2.90666666666667,"DOMESTIC",3
"534","95252",2.31627777777778,"MUNICIPAL",18
"535","95252",1.846,"WATER SUPPLY, OTHER",18
"536","95245",NA,NA,1
"537","95232",0.531,"MUNICIPAL",2
"538","95932",0.298666666666667,"IRRIGATION / INDUSTRIAL",3
